character,state,probability
r8,104,0.003168
r8,105,0.001056
r8,106,0.038015
r8,107,0.001056
r8,108,0.009504
r8,109,0.025343
r8,11,0.368532
r8,110,0.009504
r8,111,0.030623
r8,112,0.009504
r8,113,0.006336
r8,114,0.005280
r8,115,0.015839
r8,116,0.001056
r8,117,0.001056
r8,118,0.003168
r8,119,0.005280
r8,12,0.008448
r8,120,0.001056
r8,121,0.001056
r8,122,0.001056
r8,123,0.001056
r8,124,0.008448
r8,125,0.009504
r8,126,0.002112
r8,127,0.074974
r8,128,0.004224
r8,129,0.024287
r8,13,0.299894
r8,130,0.001056
r8,131,0.006336
r8,132,0.001056
r8,133,0.001056
r8,134,0.005280
r8,135,0.001056
r8,136,0.058078
r8,137,0.001056
r8,138,0.003168
r8,139,0.003168
r8,14,0.031679
r8,140,0.001056
r8,141,0.034847
r8,142,0.001056
r8,143,0.060190
r8,144,0.002112
r8,145,0.036959
r8,146,0.001056
r8,147,0.005280
r8,148,0.002112
r8,149,0.042239
r8,15,0.220697
r8,150,0.001056
r8,151,0.001056
r8,152,0.001056
r8,153,0.001056
r8,154,0.001056
r8,155,0.011616
r8,156,0.034847
r8,157,0.001056
r8,158,0.008448
r8,159,0.001056
r8,16,0.128828
r8,160,0.003168
r8,161,0.004224
r8,162,0.001056
r8,163,0.026399
r8,164,0.008448
r8,165,0.001056
r8,166,0.001056
r8,167,0.001056
r8,168,0.001056
r8,169,0.010560
r8,17,0.034847
r8,170,0.058078
r8,171,0.002112
r8,172,0.001056
r8,173,0.002112
r8,174,0.027455
r8,175,0.168955
r8,176,0.010560
r8,177,0.001056
r8,178,0.059134
r8,179,0.001056
r8,18,0.014784
r8,180,0.026399
r8,181,0.020063
r8,182,0.001056
r8,183,0.001056
r8,184,0.001056
r8,185,0.001056
r8,186,0.007392
r8,187,0.007392
r8,188,0.001056
r8,189,0.007392
r8,19,0.183738
r8,190,0.010560
r8,191,0.009504
r8,192,0.025343
r8,193,0.010560
r8,194,0.001056
r8,195,0.001056
r8,196,0.001056
r8,197,0.031679
r8,198,0.001056
r8,199,0.003168
r8,2,0.727561
r8,20,0.003168
r8,200,0.001056
r8,201,0.001056
r8,202,0.001056
r8,203,0.004224
r8,204,0.008448
r8,205,0.013728
r8,206,0.001056
r8,207,0.001056
r8,208,0.017951
r8,209,0.001056
r8,21,0.161563
r8,210,0.009504
r8,211,0.001056
r8,212,0.007392
r8,213,0.004224
r8,214,0.001056
r8,215,0.013728
r8,216,0.003168
r8,217,0.004224
r8,218,0.009504
r8,219,0.001056
r8,22,0.024287
r8,220,0.001056
r8,221,0.001056
r8,222,0.003168
r8,223,0.028511
r8,224,0.001056
r8,225,0.017951
r8,226,0.022175
r8,227,0.017951
r8,228,0.036959
r8,229,0.001056
r8,23,0.298838
r8,230,0.022175
r8,231,0.017951
r8,232,0.001056
r8,233,0.010560
r8,234,0.001056
r8,235,0.003168
r8,236,0.001056
r8,237,0.007392
r8,238,0.012672
r8,239,0.008448
r8,24,0.435058
r8,240,0.022175
r8,241,0.006336
r8,242,0.023231
r8,243,0.001056
r8,244,0.017951
r8,245,0.001056
r8,246,0.001056
r8,247,0.008448
r8,248,0.011616
r8,249,0.001056
r8,25,0.012672
r8,250,0.001056
r8,251,0.011616
r8,252,0.001056
r8,253,0.016895
r8,254,0.030623
r8,255,0.011616
r8,256,0.012672
r8,257,0.039071
r8,258,0.014784
r8,259,0.001056
r8,26,0.001056
r8,260,0.001056
r8,261,0.001056
r8,262,0.021119
r8,263,0.032735
r8,264,0.001056
r8,265,0.002112
r8,266,0.006336
r8,267,0.001056
r8,268,0.003168
r8,269,0.001056
r8,27,0.001056
r8,270,0.001056
r8,271,0.001056
r8,272,0.006336
r8,273,0.017951
r8,274,0.003168
r8,275,0.003168
r8,276,0.001056
r8,277,0.001056
r8,278,0.002112
r8,279,0.001056
r8,28,0.007392
